file,family,subfamily,fullName,postscriptName
AvenirNext-Bold.ttf,Avenir Next,Bold,Avenir Next Bold,AvenirNext-Bold
AvenirNext-BoldItalic.ttf,Avenir Next,Bold Italic,Avenir Next Bold Italic,AvenirNext-BoldItalic
AvenirNext-DemiBold.ttf,Avenir Next Demi Bold,Regular,Avenir Next Demi Bold,AvenirNext-DemiBold
AvenirNext-DemiBoldItalic.ttf,Avenir Next Demi Bold,Italic,Avenir Next Demi Bold Italic,AvenirNext-DemiBoldItalic
AvenirNext-Heavy.ttf,Avenir Next Heavy,Regular,Avenir Next Heavy,AvenirNext-Heavy
AvenirNext-HeavyItalic.ttf,Avenir Next Heavy,Italic,Avenir Next Heavy Italic,AvenirNext-HeavyItalic
AvenirNext-Medium.ttf,Avenir Next Medium,Regular,Avenir Next Medium,AvenirNext-Medium
AvenirNext-MediumItalic.ttf,Avenir Next Medium,Italic,Avenir Next Medium Italic,AvenirNext-MediumItalic
AvenirNextCondensed-Bold.ttf,Avenir Next Condensed,Bold,Avenir Next Condensed Bold,AvenirNextCondensed-Bold
AvenirNextCondensed-BoldItalic.ttf,Avenir Next Condensed,Bold Italic,Avenir Next Condensed Bold Italic,AvenirNextCondensed-BoldItalic
AvenirNextCondensed-DemiBold.ttf,Avenir Next Condensed Demi Bold,Regular,Avenir Next Condensed Demi Bold,AvenirNextCondensed-DemiBold
AvenirNextCondensed-DemiBoldItalic.ttf,Avenir Next Condensed Demi Bold,Italic,Avenir Next Condensed Demi Bold Italic,AvenirNextCondensed-DemiBoldItalic
AvenirNextCondensed-Heavy.ttf,Avenir Next Condensed Heavy,Regular,Avenir Next Condensed Heavy,AvenirNextCondensed-Heavy
AvenirNextCondensed-HeavyItalic.ttf,Avenir Next Condensed Heavy,Italic,Avenir Next Condensed Heavy Italic,AvenirNextCondensed-HeavyItalic
AvenirNextCondensed-Medium.ttf,Avenir Next Condensed Medium,Regular,Avenir Next Condensed Medium,AvenirNextCondensed-Medium
AvenirNextCondensed-MediumItalic.ttf,Avenir Next Condensed Medium,Italic,Avenir Next Medium Condensed Italic,AvenirNextCondensed-MediumItalic
Comic Sans MS.ttf,Comic Sans MS,Regular,Comic Sans MS,ComicSansMS
HFAppleTree.ttf,HFAppleTree,Regular,HFAppleTree Regular,HFAppleTree-Regular
HFArchite.ttf,HFArchite,Regular,HFArchite,HFArchite
HFAster.ttf,HFAster,Regular,HFAster Medium,HFAster-Medium
HFBerry.ttf,HFBerry,Regular,HFBerry,HFBerry
HFBestWishes.ttf,HFBestWishes,Regular,HFBestWishes,HFBestWishes
HFBiscuit.ttf,HFBiscuit,Regular,HFBiscuit Regular,HFBiscuit-Regular
HFBlueJazz.ttf,HFBlueJazz,Italic,HFBlueJazz Italic,HFBlueJazz-Italic
HFBone.ttf,HFBone,Regular,HFBone,HFBone
HFBronte.ttf,HFBronte,Regular,HFBronte,HFBronte
HFBungee.ttf,HFBungee,Regular,HFBungee Regular,HFBungee-Regular
HFCapsule.ttf,HFCapsule,Regular,HFCapsule Regular,HFCapsule-Regular
HFCarnival.ttf,HFCarnival,Regular,HFCarnival Regular,HFCarnival-Regular
HFCarol.ttf,HFCarol,Regular,HFCarol,HFCarol
HFCelebration.ttf,HFCelebration,Regular,HFCelebration Regular,HFCelebration-Regular
HFCheers.ttf,HFCheers,Bold,HFCheers,HFCheers
HFChooseyLover.ttf,FC Iconic,Regular,HFChooseyLover Regular,HFChooseyLover-Regular
HFClay.ttf,HFClay,Bold,HFClay,HFClay
HFClearance.ttf,HFClearance,Regular,HFClearance,HFClearance
